surface	headwords	krdict_ids	stdict_ids	opendict_ids	stdict_statuses	opendict_statuses	krdict_hosts	stdict_hosts	opendict_hosts
의	의|의10	86290	267237:267237001	369551:1|373094:1|374753:1|375150:1|375262:1|375311:1|375342:1|375384:1|375385:1|375391:1|375394:1|375395:1|375396:1|375397:1|375401:1|375406:1|375426:1|375437:1|375439:1|375450:1|375455:1|541870:1	일반어	옛말|일반어	-	nominal	nominal
이	이|이25	86289	471254:471254001	247546:1|247547:1|247548:1|30082:1|30567:1|61636:1	일반어	방언|옛말|일반어	adverb|nominal	adverb|nominal	adverb|nominal
이고	이고|이고05	66987	259958:259958001	358342:1	일반어	일반어	-	nominal	nominal
이나	이나|이나02	89214	469702:469702001	1333783:1|1360011:1|334035:1|337480:1|338294:1|338435:1|338611:1|338666:1|358315:1	일반어	일반어	adverb|nominal	adverb|nominal	adverb|nominal
이나따나	이나따나	-	263612:263612001	358316:1	일반어	일반어	-	-	adverb|nominal
이나마	이나마|이나마02	70312	263876:263876001	248588:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이니	이니	86136	266201:266201001	505392:1	일반어	일반어	-	nominal	nominal
이다	이다|이다03|이다04	86118|86232	266469:266469001|469673:469673001	1282602:1|1282604:1|1282605:1|1282606:1|249386:1|358404:1	일반어	일반어	-	adverb|nominal|predicate-ending	adverb|nominal|predicate-ending
이든	이든|이든01	86137	260492:260492001	505278:1	일반어	일반어	-	-	-
이든가	이든가	-	533843:533843001	1696042:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이든지	이든지	86139	260493:260493001	248200:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이라	이라	70076	263303:263303001	248601:1	일반어	일반어	-	-	-
이라고	이라고|이라고01|이라고02	70075|86353	469886:469886001|471982:471982001	19795:1|248602:1|51766:1|66883:1|70396:1	일반어	일반어	-	nominal	nominal
이라도	이라도	78504	263893:263893001	516691:1|520245:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이라든가	이라든가	85861	517274:517274001	598881:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이라든지	이라든지	86046	263894:263894001	394851:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이라서	이라서	-	263897:263897001	578860:1	일반어	일반어	-	nominal	nominal
이라야	이라야	86620	263898:263898001	358344:1|593235:1	일반어	일반어	adverb|nominal	adverb|nominal	adverb|nominal
이라야만	이라야-만|이라야만	86067	263899:263899001	394852:1	일반어	일반어	-	nominal	nominal
이란	이란|이란04	85859	264131:264131001	248993:1	일반어	일반어	-	nominal	nominal
이랑	이랑|이랑02	86141	469683:469683001	249001:1|30086:1|61640:1	일반어	일반어	-	nominal	nominal
이랴	이랴|이랴02	-	517285:517285001	598893:1	일반어	일반어	-	nominal	nominal
이며	이며	70327	260127:260127001	249224:1	일반어	일반어	-	nominal	nominal
이면	이면|이면03	80265	517286:517286001	598895:1	일반어	일반어	-	nominal	nominal
이시여	이시여	86092	268657:268657001	395134:1	일반어	일반어	-	nominal	nominal
이야	이야|이야02	70340	469469:469469001	252979:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이야말로	이야-말로|이야-말로02|이야말로	86103	469393:469393001	250092:1	일반어	일반어	-	adverb|nominal	adverb|nominal
이여	이여|이여03	86621	475925:475925001	251179:1|251180:1|251181:1	일반어	방언|옛말|일반어	-	nominal	nominal
이요	이요|이요03	-	533672:533672001	1368015:1	일반어	일반어	-	adverb|nominal	adverb|nominal
인들	인들	70053	473672:473672001	249994:1	일반어	일반어	-	adverb|nominal	adverb|nominal
인즉	인즉	-	472529:472529001	253153:1	일반어	일반어	-	nominal	nominal
인즉슨	인즉-슨	-	271768:271768001	253154:1	일반어	일반어	-	nominal	nominal
일랑	일랑	86123	265515:265515001	254720:1	일반어	일반어	-	nominal	nominal
일랑은	일랑-은|일랑은	86132	472367:472367001	579553:1	일반어	일반어	-	-	-
조차	조차|조차06	70345	485372:485372001	434233:1	일반어	일반어	-	nominal	nominal
처럼	처럼	68275	328473:328473001	583123:1	일반어	일반어	-	nominal	nominal
치고	치고	73015	490775:490775001	370304:1|373776:1	일반어	일반어	-	nominal	nominal
치고는	치고-는|치고는	83882	333065:333065001	406784:1|410299:1	일반어	일반어	-	-	-
치고서	치고-서|치고서	73016	333066:333066001	510975:1	일반어	일반어	-	-	-
카냥	카냥	-	340305:340305001	1274758:1|298751:1	일반어	일반어	-	-	nominal
커녕	커녕	86168	490407:490407001	26223:1|57606:1	일반어	일반어	-	nominal	nominal
토록	토록|토록02	86121	497061:497061001	304704:1	일반어	일반어	-	nominal	nominal
하고	하고|하고05	78635	502079:502079001	30799:1|313326:1|61605:1|69562:1	일반어	일반어	-	nominal	nominal
하고는	하고-는|하고는	83038	-	1385064:1	-	일반어	-	-	nominal
하며	하며	70310	363409:363409001	365605:1	일반어	일반어	-	nominal	nominal
한테	한테	69714	501558:501558001	480951:1|484355:1|485340:1	일반어	일반어	-	nominal	nominal
한테다	한테-다|한테다	83879	-	1130027:1	-	일반어	-	-	-
한테다가	한테-다가|한테다가	83880	-	1130028:1	-	일반어	-	-	-
한테로	한테-로|한테로	83881	363324:363324001	316180:1	일반어	일반어	-	nominal	nominal
한테서	한테-서|한테서	68864	363325:363325001	316181:1	일반어	일반어	-	nominal	nominal
할래	할래	-	364734:364734001	318086:1	일반어	일반어	-	-	adverb|nominal
헌테	헌테	-	371661:371661001	321852:1	일반어	일반어	-	-	-
