lemma	pos	alternation	flags	surface	krdict_ids	stdict_ids	opendict_ids	status
가공스럽다	VA	BToWo				308:308001	338754:1	productive-duplicate
가관스럽다	VA	BToWo				95:95001	2886:1|31236:1	productive-duplicate
가긍스럽다	VA	BToWo				387301:387301001	375403:1	productive-duplicate
가깝다	VA	BToWo			65200	385349:385349001	31506:1|31777:1|62354:1|62762:1|72852:1|72853:1	promoted
가깝디가깝다	VA	BToWo				387:387001	72854:1	review
가년스럽다	VA	BToWo				648:648001	559365:1	productive-duplicate
가느다랗다	VA	DropH			28097	341:341001	73779:1	promoted
가느닿다	VA	DropH				342:342001	73780:1	review
가닥스럽다	VA	BToWo					616531:1	productive-duplicate
가닿다	VV	Regular				1848:1848001	441068:1	regular-control
가량스럽다	VA	BToWo				960:960001	73738:1	productive-duplicate
가려듣다	VV	DToL				386073:386073001	73751:1	core-duplicate
가려잡다	VV	Regular				21:21001	367626:1|370930:1	regular-control
가련스럽다	VA	BToWo					725118:1	productive-duplicate
가렵다	VA	BToWo			14974	526:526001	485926:1|589678:1	promoted
가로놓다	VV	Regular			14990	385801:385801001	73915:1	regular-control
가로눕다	VV	BToWo			15001	1798:1798001	2368:1|32314:1	promoted
가로닫다	VV	DToL				966:966001	73967:1	review
가로잡다	VV	Regular				829:829001	2320:1	regular-control
가로젓다	VV	DropS			14982	390268:390268001	551380:1|554722:1	promoted
가로지르다	VV	ReuDoubleL			15004	390272:390272001	404081:1|407468:1	promoted
가르다	VV	ReuDoubleL			16345	387739:387739001	30544:1|61925:1|69015:1|71584:1|73487:1	promoted
가린스럽다	VA	BToWo				383018:383018001	412050:1	productive-duplicate
가마발갛다	VA	DropH				775:775001	73988:1	review
가맣다	VA	DropH			15381	387918:387918001	404107:1|407501:1	promoted
가볍다	VA	BToWo			26788	510305:510305001	589783:1|589784:1|589785:1|589786:1|589787:1|589788:1|589789:1|589792:1|589794:1|589795:1|589796:1|589797:1|589798:1	core-duplicate
가볍디가볍다	VA	BToWo				1969:1969001	74800:1	review
가살스럽다	VA	BToWo				2611:2611001	74424:1	productive-duplicate
가상스럽다	VA	BToWo				383287:383287001	338905:1	productive-duplicate
가새지르다	VV	ReuDoubleL				2287:2287001	522698:1	review
가소롭다	VA	BToWo			14625	2663:2663001	486042:1	productive-duplicate
가엽다	VA	BToWo			16303	3632:3632001	449236:1	promoted
가즈럽다	VA	BToWo				4227:4227001	75932:1	review
가증스럽다	VA	BToWo			26184	387027:387027001	449414:1	productive-duplicate
가탄스럽다	VA	BToWo				390176:390176001	338975:1	productive-duplicate
가탈스럽다	VA	BToWo				3588:3588001	1268266:1|375626:1	productive-duplicate
가파르다	VA	ReuDoubleL			14238	387146:387146001	75212:1	promoted
각박스럽다	VA	BToWo				4525:4525001	76366:1	productive-duplicate
간거르다	VV	ReuDoubleL				390441:390441001	76573:1	review
간고르다	VV	ReuDoubleL				4768:4768001	559697:1	review
간고스럽다	VA	BToWo				4773:4773001	76702:1	productive-duplicate
간교스럽다	VA	BToWo				5029:5029001	76769:1	productive-duplicate
간능스럽다	VA	BToWo				4333:4333001	375729:1	productive-duplicate
간단스럽다	VA	BToWo				387720:387720001	76104:1	productive-duplicate
간린스럽다	VA	BToWo				4560:4560001	76522:1	productive-duplicate
간사스럽다	VA	BToWo			15511	387392:387392001|387611:387611001	2334:1|32202:1|76846:1	productive-duplicate
간살스럽다	VA	BToWo				5115:5115001	339077:1	productive-duplicate
간악스럽다	VA	BToWo				6347:6347001	76404:1	productive-duplicate
간지럽다	VA	BToWo			14164	387176:387176001	29372:1|61224:1|68282:1	promoted
간친스럽다	VA	BToWo				387453:387453001	523027:1	productive-duplicate
간특스럽다	VA	BToWo				6307:6307001	77667:1	productive-duplicate
갈라놓다	VV	Regular			14692	6318:6318001	331160:1|334245:1	regular-control
갈라땋다	VV	Regular				6378:6378001	523039:1	regular-control
갈래짓다	VV	DropS				516913:516913001	598391:1	review
갈아입다	VV	Regular			53830	6529:6529001	77748:1	regular-control
감격스럽다	VA	BToWo			15256	6445:6445001	77650:1	productive-duplicate
감노랗다	VA	DropH				7715:7715001	559732:1	review
감노르다	VA	Reo				388050:388050001	77077:1	review
감동스럽다	VA	BToWo				534545:534545001	771579:1	productive-duplicate
감때사납다	VA	BToWo				6003:6003001	32355:1|3242:1	review
감미롭다	VA	BToWo			18994	7041:7041001	551529:1|554677:1	productive-duplicate
감사납다	VA	BToWo				8007:8007001	551540:1|554690:1	review
감심스럽다	VA	BToWo					617842:1	productive-duplicate
감씹다	VV	Regular				8532:8532001	559890:1	regular-control
감탄스럽다	VA	BToWo			22655	391386:391386001	78103:1	productive-duplicate
감파랗다	VA	DropH				388280:388280001	78220:1	review
감파르다	VA	Reo				8140:8140001	78221:1	review
갑자르다	VV	ReuDoubleL				388832:388832001	367758:1|370971:1	review
갑작스럽다	VA	BToWo			16188	388836:388836001	77998:1	productive-duplicate
강마르다	VA	ReuDoubleL			17530	388665:388665001	444165:1|447737:1|448541:1	promoted
강요받다	VV	Regular			19618	9202:9202001	78929:1	regular-control
강종받다	VV	Regular				11087:11087001	78766:1	regular-control
강파르다	VA	ReuDoubleL				388870:388870001	32019:1|3820:1|62518:1|69455:1	review
개감스럽다	VA	BToWo				10274:10274001	412713:1	productive-duplicate
개르다	VA	ReuDoubleL				9482:9482001	449872:1	review
개미잡다	VV	Regular				392599:392599001	32470:1|3468:1	regular-control
개염스럽다	VA	BToWo				9043:9043001	523394:1	productive-duplicate
개으르다	VA	ReuDoubleL				394621:394621001	80599:1	review
개잡다	VV	Regular				389270:389270001	80927:1	regular-control
개탄스럽다	VA	BToWo			18716	11137:11137001	412820:1	productive-duplicate
객설스럽다	VA	BToWo				389125:389125001	331117:1|334282:1	productive-duplicate
객스럽다	VA	BToWo				12016:12016001	412799:1	productive-duplicate
객심스럽다	VA	BToWo				11808:11808001	80633:1	productive-duplicate
거년스럽다	VA	BToWo				11220:11220001	81497:1	productive-duplicate
거드럭스럽다	VA	BToWo				12556:12556001	339715:1	productive-duplicate
거드름스럽다	VA	BToWo				12561:12561001	376361:1	productive-duplicate
거령스럽다	VA	BToWo				393065:393065001	523502:1	productive-duplicate
거르다	VV	ReuDoubleL			26787|26793	11555:11555001|392450:392450001	560213:1|81466:1	promoted
거만스럽다	VA	BToWo			26810	12625:12625001	81763:1	productive-duplicate
거머잡다	VV	Regular			26817	13839:13839001	560252:1	regular-control
거멓다	VA	DropH			26904			review
거물스럽다	VA	BToWo				393096:393096001	523494:1	productive-duplicate
거벽스럽다	VA	BToWo				394601:394601001	81582:1	productive-duplicate
거볍다	VA	BToWo				11622:11622001	30172:1|61327:1|68317:1|70738:1|81584:1	review
거볍디거볍다	VA	BToWo				11623:11623001	81585:1	review
거북살스럽다	VA	BToWo			27298	393059:393059001	376358:1	productive-duplicate
거북스럽다	VA	BToWo			27301	393210:393210001	81732:1	productive-duplicate
거스르다	VV	ReuDoubleL			27338|27340	12355:12355001|12356:12356001|390499:390499001	3082:1|32033:1|450012:1|63381:1|81289:1	promoted
거역스럽다	VA	BToWo					710057:1	productive-duplicate
거엽스럽다	VA	BToWo				12413:12413001	82408:1	productive-duplicate
거오스럽다	VA	BToWo				393211:393211001	82411:1	productive-duplicate
거우르다	VV	ReuDoubleL				14411:14411001	82481:1	review
거저줍다	VV	BToWo				15410:15410001	441109:1|444529:1	review
거짓스럽다	VA	BToWo				14391:14391001	82321:1	productive-duplicate
거창스럽다	VA	BToWo				12385:12385001	523621:1	productive-duplicate
거추장스럽다	VA	BToWo			23439	392852:392852001	551547:1|554679:1	productive-duplicate
거쿨스럽다	VA	BToWo				15178:15178001	450172:1	productive-duplicate
거폐스럽다	VA	BToWo				13753:13753001	82709:1	productive-duplicate
걱정스럽다	VA	BToWo			15869	393266:393266001	82283:1	productive-duplicate
건너긋다	VV	DropS				12919:12919001	413033:1	review
건너지르다	VV	ReuDoubleL			22013	15103:15103001	331146:1|334405:1	promoted
건네받다	VV	Regular			21658	15379:15379001	339730:1	regular-control
건조롭다	VA	BToWo				14148:14148001	486944:1	productive-duplicate
걷다	VV	DToL			29667	391946:391946001	30616:1|61969:1|69017:1|82960:1	core-duplicate
걷다	VV	Regular			15920|15933|25357	14751:14751001|14752:14752001|391931:391931001	1596123:1|30207:1|32860:1|3845:1|551554:1|554795:1|63589:1|82961:1	core-duplicate
걷어입다	VV	Regular				14028:14028001	82998:1	regular-control
걷어잡다	VV	Regular				14029:14029001	32908:1|3854:1	regular-control
걷어지르다	VV	ReuDoubleL				391341:391341001	407238:1|410726:1	review
걷잡다	VV	Regular			25418		3048:1	regular-control
걷지르다	VV	ReuDoubleL				14642:14642001	478094:1|481394:1|484802:1	review
걸굳다	VA	Regular				14899:14899001	83099:1	regular-control
걸다랗다	VA	DropH				14446:14446001	560403:1	review
걸머잡다	VV	Regular				15092:15092001	83365:1	regular-control
걸신스럽다	VA	BToWo				13833:13833001	413132:1	productive-duplicate
걸쌈스럽다	VA	BToWo				13838:13838001	3588:1	productive-duplicate
걸쌍스럽다	VA	BToWo				391474:391474001	83455:1	productive-duplicate
걸입다	VV	Regular				15641:15641001	339839:1	regular-control
걸터눕다	VV	BToWo					752790:1	review
검누르다	VA	Reo				14993:14993001	83168:1	review
검뜯다	VV	Regular				13693:13693001	32861:1|3846:1	regular-control
검뿌옇다	VA	DropH				391693:391693001	450267:1	review
검잡다	VV	Regular				16415:16415001	82853:1	regular-control
검측스럽다	VA	BToWo				396187:396187001	367878:1|371088:1	productive-duplicate
검푸르다	VA	Reo			30091	390762:390762001	376646:1	promoted
검흐르다	VV	ReuDoubleL				387852:387852001	339996:1	review
것지르다	VV	ReuDoubleL				15873:15873001	83656:1	review
겉마르다	VV	ReuDoubleL				391495:391495001	441227:1|444545:1	review
겉묻다	VV	Regular				15494:15494001	404300:1	regular-control
겉바르다	VV	ReuDoubleL				396191:396191001	523803:1	review
겉잡다	VV	Regular			31347	390767:390767001	413214:1	regular-control
게걸스럽다	VA	BToWo			31357	14804:14804001	4436:1	productive-duplicate
게검스럽다	VA	BToWo				391686:391686001	376666:1	productive-duplicate
게르다	VA	ReuDoubleL				17374:17374001	83673:1	review
게염스럽다	VA	BToWo				395163:395163001	450321:1	productive-duplicate
게으르다	VA	ReuDoubleL			15948	390770:390770001	376633:1	promoted
게접스럽다	VA	BToWo				392329:392329001	339998:1	productive-duplicate
게정스럽다	VA	BToWo				392332:392332001	560535:1	productive-duplicate
겨르롭다	VA	BToWo					710070:1	productive-duplicate
겨우르다	VA	ReuDoubleL				17295:17295001	376588:1	review
겯다	VV	DToL				15666:15666001|17618:17618001|393233:393233001	367904:1|371014:1|374423:1|514993:1|518144:1|85145:1	review
겯지르다	VV	ReuDoubleL				15745:15745001	32871:1|4722:1	review
결론짓다	VV	DropS			30285	391986:391986001	331215:1|334389:1	promoted
결말짓다	VV	DropS				18877:18877001	84662:1	review
결정짓다	VV	DropS			32135	18374:18374001	84568:1	promoted
겸손스럽다	VA	BToWo				391212:391212001	85294:1	productive-duplicate
겸연스럽다	VA	BToWo			87214	19488:19488001	487112:1	productive-duplicate
겹다	VA	BToWo			30453	392077:392077001	444179:1|447747:1|450498:1	promoted
겹쌓다	VV	Regular				16835:16835001	376843:1	regular-control
겹집다	VV	Regular				18068:18068001	86048:1	regular-control
경망스럽다	VA	BToWo			32397	20395:20395001	85949:1	productive-duplicate
경멸스럽다	VA	BToWo			29806	517141:517141001	598721:1	productive-duplicate
경박스럽다	VA	BToWo			29814	19144:19144001	86201:1	productive-duplicate
경사롭다	VA	BToWo				20020:20020001	376808:1	productive-duplicate
경사스럽다	VA	BToWo			30559	19602:19602001	85623:1	productive-duplicate
경악스럽다	VA	BToWo				19946:19946001	85400:1	productive-duplicate
경이롭다	VA	BToWo			30409	391801:391801001	376970:1	productive-duplicate
경쾌스럽다	VA	BToWo					713731:1	productive-duplicate
경탄스럽다	VA	BToWo			26038	536057:536057001	664456:1	productive-duplicate
경하스럽다	VA	BToWo				21447:21447001	413570:1	productive-duplicate
곁따르다	VV	Regular	EU_DROP			395022:395022001	4684:1	regular-control
계면스럽다	VA	BToWo				21330:21330001	87886:1	productive-duplicate
고급스럽다	VA	BToWo			28075	395019:395019001	87373:1	productive-duplicate
고깝다	VA	BToWo			25096	24675:24675001	88636:1	promoted
고난스럽다	VA	BToWo				24083:24083001	340538:1	productive-duplicate
고뇌스럽다	VA	BToWo					634670:1	productive-duplicate
고드르다	VA	ReuDoubleL					756480:1	review
고렇다	VA	DropH			23658	395491:395491001	88305:1	promoted
고르다	VA	ReuDoubleL			25632	391279:391279001	367855:1|371056:1	promoted
고르다	VV	ReuDoubleL			19935|19938	23193:23193001|395436:395436001	331245:1|334403:1|340554:1	promoted
고르잡다	VV	Regular				22474:22474001	561042:1	regular-control
고만스럽다	VA	BToWo				24183:24183001	450818:1	productive-duplicate
고맙다	VA	BToWo			20041	396122:396122001	377147:1	promoted
고민스럽다	VA	BToWo			601527	393854:393854001	524293:1	productive-duplicate
고생스럽다	VA	BToWo			22674	24102:24102001	340637:1	productive-duplicate
고심스럽다	VA	BToWo				24132:24132001	413829:1	productive-duplicate
고아스럽다	VA	BToWo				23732:23732001	413838:1	productive-duplicate
고약스럽다	VA	BToWo			18769	25688:25688001	340665:1	productive-duplicate
고역스럽다	VA	BToWo			18784	515745:515745001	596935:1	productive-duplicate
고요롭다	VA	BToWo					616751:1|616752:1	productive-duplicate
고정스럽다	VA	BToWo				26795:26795001	340739:1	productive-duplicate
고집스럽다	VA	BToWo			27552	25246:25246001	90495:1	productive-duplicate
고통스럽다	VA	BToWo			18379	25042:25042001	90564:1	productive-duplicate
고풍스럽다	VA	BToWo			18386	26228:26228001	89921:1	productive-duplicate
고함지르다	VV	ReuDoubleL				394083:394083001	413892:1	review
고혹스럽다	VA	BToWo					1098756:1	productive-duplicate
곤궁스럽다	VA	BToWo				394026:394026001	451130:1	productive-duplicate
곤란스럽다	VA	BToWo				27440:27440001	90728:1	productive-duplicate
곤욕스럽다	VA	BToWo			27676	27223:27223001	90936:1	productive-duplicate
곤혹스럽다	VA	BToWo			27695	390927:390927001	91146:1	productive-duplicate
곧다	VA	Regular			25565	26336:26336001	34302:1|4428:1	regular-control
곧듣다	VV	DToL				26704:26704001	91195:1	review
곧바르다	VA	ReuDoubleL			27921	26705:26705001	91196:1	promoted
곧아오르다	VV	ReuDoubleL				392060:392060001	91199:1	review
곧이곧다	VA	Regular				394068:394068001	91257:1	regular-control
곧이듣다	VV	DToL			27702	27019:27019001	91259:1	promoted
골라잡다	VV	Regular			18334	394028:394028001	33668:1|4706:1	regular-control
곯마르다	VV	ReuDoubleL				28665:28665001	561285:1	review
곰살갑다	VA	BToWo				27639:27639001	91222:1	review
곰살스럽다	VA	BToWo					617309:1	productive-duplicate
곰상스럽다	VA	BToWo				26192:26192001	34542:1|4656:1	productive-duplicate
곰팡스럽다	VA	BToWo				28216:28216001	524659:1	productive-duplicate
곱놓다	VV	Regular				27658:27658001	414073:1	regular-control
곱다	VA	BToWa			24959	394919:394919001	33736:1|3893:1|588052:1|63350:1|68931:1|71499:1	promoted
곱다	VA	Regular			18590	27661:27661001	33779:1|3894:1	mixed-regular
곱다	VV	Regular			87857	27660:27660001|27737:27737001	588054:1|91449:1	regular-control
곱다랗다	VA	DropH			18597	27739:27739001	33780:1|3941:1	promoted
곱닿다	VA	DropH				27800:27800001	33782:1|3943:1	review
곱디곱다	VA	BToWa			18603	27992:27992001	90654:1	promoted
곱살스럽다	VA	BToWo				394662:394662001	90767:1	productive-duplicate
곱씹다	VV	Regular			18641	397326:397326001	33905:1|4067:1	regular-control
곱잡다	VV	Regular				390586:390586001	4108:1	regular-control
곱접다	VV	Regular				28731:28731001	91880:1	regular-control
공교롭다	VA	BToWo			19870	27205:27205001	561414:1	productive-duplicate
공교스럽다	VA	BToWo					617515:1	productive-duplicate
공그르다	VV	ReuDoubleL				394853:394853001	92150:1	review
공생스럽다	VA	BToWo				30424:30424001	377593:1	productive-duplicate
공손스럽다	VA	BToWo				29536:29536001	524872:1	productive-duplicate
공얻다	VV	Regular				30057:30057001	488036:1	regular-control
공연스럽다	VA	BToWo			88305	29210:29210001	92906:1	productive-duplicate
공의롭다	VA	BToWo				29823:29823001	92447:1	productive-duplicate
공칙스럽다	VA	BToWo				31499:31499001	92986:1	productive-duplicate
공포스럽다	VA	BToWo				534859:534859001	616659:1	productive-duplicate
과감스럽다	VA	BToWo				398340:398340001	451432:1	productive-duplicate
과장스럽다	VA	BToWo				398740:398740001	94016:1	productive-duplicate
관디목지르다	VV	ReuDoubleL				27267:27267001	94770:1	review
관련짓다	VV	DropS			30317	32666:32666001	377810:1	promoted
괄괄스럽다	VA	BToWo				32690:32690001	94594:1	productive-duplicate
광휘롭다	VA	BToWo			30827	33376:33376001	478368:1|481563:1	productive-duplicate
괘꽝스럽다	VA	BToWo				34061:34061001	95798:1	productive-duplicate
괘사스럽다	VA	BToWo				398874:398874001	341198:1	productive-duplicate
괘씸스럽다	VA	BToWo				34335:34335001	95017:1	productive-duplicate
괜스럽다	VA	BToWo			88322	34021:34021001	414434:1	productive-duplicate
괴기스럽다	VA	BToWo			601855	34408:34408001	95260:1	productive-duplicate
괴까다롭다	VA	BToWo				401989:401989001	377869:1	productive-duplicate
괴까닭스럽다	VA	BToWo				34413:34413001	95323:1	productive-duplicate
괴덕스럽다	VA	BToWo				398444:398444001	525113:1	productive-duplicate
괴란스럽다	VA	BToWo					617727:1	productive-duplicate
괴롭다	VA	BToWo			30850	398815:398815001	377885:1	productive-duplicate
괴망스럽다	VA	BToWo				36070:36070001	95502:1	productive-duplicate
괴물스럽다	VA	BToWo					617741:1|617742:1	productive-duplicate
괴벽스럽다	VA	BToWo				34185:34185001	95575:1	productive-duplicate
괴상스럽다	VA	BToWo				35076:35076001	561827:1	productive-duplicate
괴악스럽다	VA	BToWo				34373:34373001	488378:1	productive-duplicate
괴어오르다	VV	ReuDoubleL			30873	34083:34083001	515059:1|518289:1	promoted
괴팍스럽다	VA	BToWo				396773:396773001	341218:1	productive-duplicate
괴팍스럽다	VV	BToWo			600818			review
굄성스럽다	VA	BToWo					617769:1	productive-duplicate
굉장스럽다	VA	BToWo				33206:33206001	341242:1	productive-duplicate
교만스럽다	VA	BToWo			30697	33761:33761001	451658:1	productive-duplicate
교사스럽다	VA	BToWo				34631:34631001	488443:1	productive-duplicate
교앙스럽다	VA	BToWo				35042:35042001	96741:1	productive-duplicate
교태롭다	VA	BToWo					617924:1	productive-duplicate
교태스럽다	VA	BToWo					617925:1	productive-duplicate
구경스럽다	VA	BToWo				35412:35412001	525315:1	productive-duplicate
구구스럽다	VA	BToWo				399290:399290001	515041:1|518261:1	productive-duplicate
구기박지르다	VV	ReuDoubleL				36237:36237001	34004:1|5243:1	review
구기지르다	VV	ReuDoubleL				36091:36091001	97074:1	review
구덥다	VA	BToWo				34230:34230001	97346:1	review
구르다	VV	ReuDoubleL			34802|34811	35690:35690001|399682:399682001	1634470:1|30653:1|588118:1|62008:1|97256:1|97257:1|97258:1|97259:1|97300:1	promoted
구박지르다	VV	ReuDoubleL				36628:36628001	34285:1|5513:1	review
구접스럽다	VA	BToWo			35779	38460:38460001	478298:1|481558:1	productive-duplicate
구차스럽다	VA	BToWo			36712	396764:396764001	33773:1|5092:1	productive-duplicate
구태스럽다	VA	BToWo				534760:534760001	1709295:1	productive-duplicate
군단지럽다	VA	BToWo				40331:40331001	452107:1	review
군던지럽다	VA	BToWo				402655:402655001	452113:1	review
군색스럽다	VA	BToWo				40354:40354001	34894:1|5313:1	productive-duplicate
군시럽다	VA	BToWo				405420:405420001	100252:1	review
군지럽다	VA	BToWo				40262:40262001	99883:1	review
굳다	VA	Regular			65591	405592:405592002	2304:1|31441:1|62641:1	regular-control
굳다	VV	Regular			36860	405592:405592001	29285:1|61133:1|68223:1|70689:1|72310:1	regular-control
굴러듣다	VV	DToL				40095:40095001	99704:1	review
굴욕스럽다	VA	BToWo					617425:1	productive-duplicate
굴침스럽다	VA	BToWo				39009:39009001	341906:1	productive-duplicate
굵다랗다	VA	DropH			33704	400634:400634001	34804:1|63193:1|6852:1|69033:1|71550:1|72356:1	promoted
굼슬겁다	VA	BToWo				402985:402985001	341818:1	review
굽다	VV	BToWo			60102	400649:400649001|42194:42194001	34963:1|452158:1|63200:1|69072:1|6994:1|71554:1|72342:1|72359:1	promoted
굽다	VV	Regular			36199	42193:42193001	100557:1	mixed-regular
굽잡다	VV	Regular					617906:1	regular-control
궁극스럽다	VA	BToWo				40985:40985001	101055:1	productive-duplicate
궁금스럽다	VA	BToWo				41567:41567001	415006:1	productive-duplicate
궁벽스럽다	VA	BToWo				41393:41393001	100565:1	productive-duplicate
궁상스럽다	VA	BToWo			34867	400832:400832001	488958:1	productive-duplicate
궁색스럽다	VA	BToWo			34864	40707:40707001	100637:1	productive-duplicate
궁흉스럽다	VA	BToWo				397489:397489001	489012:1	productive-duplicate
권태롭다	VA	BToWo			37401	42588:42588001	101662:1	productive-duplicate
권태스럽다	VA	BToWo					617421:1	productive-duplicate
귀골스럽다	VA	BToWo					617432:1	productive-duplicate
귀꿈스럽다	VA	BToWo				43197:43197001	34699:1|6777:1	productive-duplicate
귀넘어듣다	VV	DToL				44226:44226001	341971:1	review
귀담아듣다	VV	DToL			38221	401228:401228001	101906:1	promoted
귀물스럽다	VA	BToWo				399922:399922001	35118:1|7146:1	productive-duplicate
귀살머리스럽다	VA	BToWo				42493:42493001	101630:1	productive-duplicate
귀살스럽다	VA	BToWo				400217:400217001	101632:1	productive-duplicate
귀성스럽다	VA	BToWo				403186:403186001|41766:41766001	101698:1|562515:1	productive-duplicate
귀여겨듣다	VV	DToL				43962:43962001	101927:1	review
귀염성스럽다	VA	BToWo			38322	397664:397664001	101983:1	productive-duplicate
귀엽다	VA	BToWo			38323	42240:42240001	101985:1	promoted
귀엽디귀엽다	VA	BToWo					924783:1	review
귀인상스럽다	VA	BToWo				43312:43312001	101120:1	productive-duplicate
귀인성스럽다	VA	BToWo				403402:403402001	101122:1	productive-duplicate
귀접스럽다	VA	BToWo				41816:41816001	441502:1|444696:1	productive-duplicate
귀족스럽다	VA	BToWo					617435:1	productive-duplicate
규정짓다	VV	DropS			35260	403554:403554001	551891:1|555097:1	promoted
그느르다	VV	ReuDoubleL				42972:42972001	478498:1|481675:1	review
그러넣다	VV	Regular				403550:403550001	102298:1	regular-control
그러묻다	VV	Regular				43702:43702001	525809:1	regular-control
그러잡다	VV	Regular				44306:44306001	102340:1|588288:1	regular-control
그렇다	VA	DropH			61178	401594:401594001	441528:1|444719:1|447989:1	core-duplicate
그르다	VA	ReuDoubleL			36298	509357:509357001	588301:1	promoted
그르다	VV	ReuDoubleL			36299	509357:509357002	588302:1|588304:1	promoted
그립다	VA	BToWo			37070	403911:403911001	35094:1|6437:1	promoted
그악스럽다	VA	BToWo			34283	400535:400535001	368118:1|371296:1	productive-duplicate
극성스럽다	VA	BToWo			32207	46499:46499001	103225:1	productive-duplicate
극심스럽다	VA	BToWo				46882:46882001	103336:1	productive-duplicate
극악스럽다	VA	BToWo				534764:534764001	1709299:1	productive-duplicate
근심겹다	VA	BToWo				46117:46117001	103001:1	review
근심스럽다	VA	BToWo			32197	400744:400744001	525894:1	productive-duplicate
근지럽다	VA	BToWo			33002	400573:400573001	34864:1|6958:1	promoted
근천스럽다	VA	BToWo				46043:46043001	378748:1	productive-duplicate
긁어놓다	VV	Regular				47036:47036001	489398:1	regular-control
급스럽다	VA	BToWo				399612:399612001	104632:1	productive-duplicate
급작스럽다	VA	BToWo			41465	401554:401554001	415486:1	productive-duplicate
긋다	VV	DropS			37219|40039	402670:402670001|405041:405041001	105128:1|105129:1|30335:1|34727:1|61509:1|68364:1|6965:1|70745:1|72346:1|72633:1	promoted
기걸스럽다	VA	BToWo				49580:49580001	526105:1	productive-duplicate
기괴스럽다	VA	BToWo				406900:406900001	526209:1	productive-duplicate
기껍다	VA	BToWo			38777	49031:49031001	106627:1	promoted
기다랗다	VA	DropH			37847	49052:49052001	378991:1	promoted
기다맣다	VA	DropH				50467:50467001	105892:1	review
기닿다	VA	DropH				406739:406739001	441501:1|444778:1	review
기르다	VV	ReuDoubleL			62242	406741:406741001	34738:1|63622:1|69170:1|6992:1|71591:1|72343:1|72396:1	promoted
기승스럽다	VA	BToWo				49180:49180001	35099:1|6501:1	productive-duplicate
기어오르다	VV	ReuDoubleL			38809	50493:50493001	551893:1|555072:1|558207:1	promoted
기증받다	VV	Regular					753836:1	regular-control
기추놓다	VV	Regular				48511:48511001	109705:1	regular-control
긷다	VV	DToL			43868	52801:52801001	108288:1	promoted
길동그랗다	VA	DropH				407602:407602001	563311:1	review
길상스럽다	VA	BToWo					753840:1	productive-duplicate
깁다	VV	BToWo			45143	400459:400459001	35724:1|8097:1	promoted
깃다	VV	Regular				54356:54356001	563337:1	regular-control
깊다랗다	VA	DropH			83299	403674:403674001	109970:1|588807:1	promoted
까다롭다	VA	BToWo			45185	404073:404073001	35413:1|8533:1	productive-duplicate
까뒤집다	VV	Regular			45200	53338:53338001	331689:1|334655:1|657952:1	regular-control
까맣다	VA	DropH			64358	404277:404277001	35623:1|8045:1	promoted
까부르다	VV	ReuDoubleL			38648	400607:400607001	30405:1|60792:1	promoted
까스르다	VV	ReuDoubleL					748107:1	review
까지르다	VV	ReuDoubleL				53858:53858001	107347:1	review
까집다	VV	Regular				52855:52855001	36147:1|8446:1	regular-control
까탈스럽다	VA	BToWo			64687	53525:53525001	108345:1|1270230:1	productive-duplicate
깐깐스럽다	VA	BToWo					621786:1	productive-duplicate
깔끄럽다	VA	BToWo				53480:53480001	109799:1|30375:1|61545:1	review
깔끔스럽다	VA	BToWo					757136:1	productive-duplicate
깜찍스럽다	VA	BToWo			37753	52997:52997001	552080:1|555176:1	productive-duplicate
깡마르다	VA	ReuDoubleL			37765	403431:403431001	342777:1|588179:1	promoted
깨끔스럽다	VA	BToWo				407669:407669001	342874:1	productive-duplicate
깨닫다	VV	DToL			32559	404189:404189001	35427:1|8545:1	promoted
꺼두르다	VV	ReuDoubleL				404229:404229001	109014:1	review
꺼림칙스럽다	VA	BToWo				404180:404180001	109631:1	productive-duplicate
꺼멓다	VA	DropH			41571			review
껄끄럽다	VA	BToWo			39536	54401:54401001	108405:1|30413:1|60800:1	promoted
껴묻다	VV	Regular				54451:54451001	415776:1	regular-control
껴입다	VV	Regular			39555	405173:405173001	331650:1|334697:1	regular-control
껴잡다	VV	Regular				52970:52970001	552064:1|555153:1	regular-control
꼬나잡다	VV	Regular					619370:1	regular-control
꼬씹다	VV	Regular					638650:1	regular-control
꼬잘스럽다	VA	BToWo				56473:56473001	108025:1	productive-duplicate
꼬집다	VV	Regular			40675	405901:405901001	35774:1|63000:1|8155:1	regular-control
꼰대스럽다	VA	BToWo					1371277:1	productive-duplicate
꼴밉다	VA	BToWo				404547:404547001	109885:1	review
꼴사납다	VA	BToWo			38175	54814:54814001	109890:1	promoted
꼴좋다	VA	Regular				404541:404541001	416080:1	regular-control
꼼바르다	VA	ReuDoubleL				56109:56109001	110294:1	review
꼽다	VA	BToWo					1588515:1	review
꼽다	VV	Regular			38210	54103:54103001	35487:1|8594:1	regular-control
꾀까다롭다	VA	BToWo				56403:56403001	453522:1	productive-duplicate
꾀바르다	VA	ReuDoubleL				55667:55667001	527062:1	review
꿰입다	VV	Regular				404760:404760001	343160:1	regular-control
꿰지르다	VV	ReuDoubleL				57967:57967001	588397:1|588398:1	review
꿰찌르다	VV	ReuDoubleL				57968:57968001	490287:1	review
끄르다	VV	ReuDoubleL			37867	56018:56018001	404786:1|407885:1	promoted
끄잡다	VV	Regular				56598:56598001	112966:1	regular-control
