lemma	pos	alternation	flags	surface	krdict_ids	stdict_ids	opendict_ids	status
빗듣다	VV	DToL				165422:165422001	179353:1	review
빛접다	VA	BToWo				161550:161550001	497840:1	review
빠르다	VA	ReuDoubleL			68755	157226:157226001	517894:1|521409:1|534267:1|534268:1	core-duplicate
빤드럽다	VA	BToWo				162990:162990001	12525:1|43001:1	review
빤빤스럽다	VA	BToWo				163554:163554001	351096:1	productive-duplicate
빨가벗다	VV	Regular			60674	441950:441950001	515870:1|519267:1|521751:1|522279:1	regular-control
빨갛다	VA	DropH			71070	436192:436192001	183716:1	promoted
빻다	VV	Regular			61509	156471:156471001	182432:1	regular-control
빼놓다	VV	Regular			15647	163824:163824001	12387:1|43660:1	regular-control
빼앗다	VV	Regular			15649	435776:435776001	29884:1|30817:1|62162:1|62871:1|68231:1	regular-control
빼입다	VV	Regular				156979:156979001	183727:1	regular-control
뺏다	VV	Regular			15650	441495:441495001	29914:1|30819:1|62203:1|62873:1|68233:1	regular-control
뺏마르다	VA	ReuDoubleL				167145:167145001	387787:1	review
뻔드럽다	VA	BToWo				166579:166579001	12390:1|43707:1	review
뻔뻔스럽다	VA	BToWo			61984	440764:440764001	184199:1	productive-duplicate
뻗다	VV	Regular			71274	435052:435052001	552526:1|555919:1|558393:1|558968:1|559148:1|559193:1	regular-control
뻗지르다	VV	ReuDoubleL				163029:163029001	12576:1|43008:1	review
뻗쳐오르다	VV	ReuDoubleL			62003	163030:163030001	387740:1	promoted
뻘거벗다	VV	Regular				438966:438966001	405239:1|408677:1|411154:1|411711:1	regular-control
뻘겋다	VA	DropH			61276			review
뻥놓다	VV	Regular				440574:440574001	182447:1|30820:1|62874:1	regular-control
뽀얗다	VA	DropH			62007	441868:441868001	554509:1|558025:1|558727:1	promoted
뽑다	VV	Regular			26962	440358:440358001	1379332:1|1622474:1|1622475:1|481083:1|481170:1|484651:1|484725:1|485317:1|485423:1|485637:1|485694:1|485736:1|485786:1	regular-control
뽕놓다	VV	Regular				166903:166903001	181889:1	regular-control
뿌옇다	VA	DropH			61772	440366:440366001	370715:1|374257:1|374922:1	promoted
사납다	VA	BToWo			62173	442633:442633001	13188:1|44476:1|64877:1|69702:1|71683:1	promoted
사놓다	VV	Regular				163214:163214001	351036:1	regular-control
사느랗다	VA	DropH				442668:442668001	13292:1|44548:1	review
사랑스럽다	VA	BToWo			15851	163738:163738001	182754:1	productive-duplicate
사랑옵다	VA	BToWo				169112:169112001	571528:1	review
사랑홉다	VA	BToWo				436371:436371001	182954:1	review
사로잡다	VV	Regular			61902	440114:440114001	517842:1|521355:1	regular-control
사르다	VV	ReuDoubleL			61911	166068:166068001|439438:439438001	515952:1|519426:1|534972:1	promoted
사막스럽다	VA	BToWo				165077:165077001	571576:1	productive-duplicate
사박스럽다	VA	BToWo				165097:165097001	182595:1	productive-duplicate
사번스럽다	VA	BToWo				172174:172174001	183667:1	productive-duplicate
