lemma	pos	alternation	flags	overrides	derivations
정신없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=정신없이	
조러다	VV	SurfaceOnly		lexical.dictionary-conjugation=조래	
조심스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=조심스레	
주책없다	VA	SurfaceOnly		lexical.dictionary-conjugation=주책없는	
주책없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=주책없이	
즐겁다	VA	SurfaceOnly		lexical.dictionary-related-adverb=즐거이	
지독스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=지독스레	
지독하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=지독히	
진배없다	VA	SurfaceOnly		lexical.dictionary-conjugation=진배없는	
진배없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=진배없이	
채신없다	VA	SurfaceOnly		lexical.dictionary-conjugation=채신없는	
철석같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=철석같이	
철없다	VA	SurfaceOnly		lexical.dictionary-conjugation=철없는	
철없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=철없이	
크나크다	VA	SurfaceOnly		lexical.dictionary-conjugation=크나커	
태연스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=태연스레	
터무니없다	VA	SurfaceOnly		lexical.dictionary-conjugation=터무니없는	
터무니없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=터무니없이	
턱없다	VA	SurfaceOnly		lexical.dictionary-conjugation=턱없는	
턱없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=턱없이	
틀림없다	VA	SurfaceOnly		lexical.dictionary-conjugation=틀림없는	
틀림없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=틀림없이	
퍼렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=퍼러니	
퍼렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=퍼레	
하나같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=하나같이	
하릴없다	VA	SurfaceOnly		lexical.dictionary-conjugation=하릴없는	
하릴없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=하릴없이	
하염없다	VA	SurfaceOnly		lexical.dictionary-conjugation=하염없는	
하염없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=하염없이	
하잘것없다	VA	SurfaceOnly		lexical.dictionary-conjugation=하잘것없는	
한가롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=한가로이	
한결같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=한결같이	
한량없다	VA	SurfaceOnly		lexical.dictionary-conjugation=한량없는	
한량없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=한량없이	
한없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=한없이	
허물없다	VA	SurfaceOnly		lexical.dictionary-conjugation=허물없는	
허물없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=허물없이	
허여멀겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=허여멀거니	
허여멀겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=허여멀게	
형편없다	VA	SurfaceOnly		lexical.dictionary-conjugation=형편없는	
형편없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=형편없이	
호사스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=호사스레	
황당하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=황당히	
훌륭하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=훌륭히	
훤칠하다	VA	SurfaceOnly		lexical.dictionary-related-adverb=훤칠히	
휘둥그렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=휘둥그러니	
휘둥그렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=휘둥그레	
희멀겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=희멀거니	
희멀겋다	VA	SurfaceOnly		lexical.dictionary-conjugation=희멀게	
힘없다	VA	SurfaceOnly		lexical.dictionary-conjugation=힘없는	
힘없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=힘없이	
가라앉다	VV	SurfaceOnly			lexical.dictionary-voice=가라앉히다
가로놓다	VV	SurfaceOnly			lexical.dictionary-voice=가로놓이다
가로막다	VV	SurfaceOnly			lexical.dictionary-voice=가로막히다
갈다	VV	SurfaceOnly			lexical.dictionary-voice=갈리다
갈아입다	VV	SurfaceOnly			lexical.dictionary-voice=갈아입히다
감다	VV	SurfaceOnly			lexical.dictionary-voice=감기다
감싸다	VV	SurfaceOnly			lexical.dictionary-voice=감싸이다
건너다보다	VV	SurfaceOnly			lexical.dictionary-voice=건너다보이다
걷다	VV	SurfaceOnly			lexical.dictionary-voice=걷히다
걸다	VV	SurfaceOnly			lexical.dictionary-voice=걸리다
곁들다	VV	SurfaceOnly			lexical.dictionary-voice=곁들이다
곯다	VV	SurfaceOnly			lexical.dictionary-voice=곯리다
괴다	VV	SurfaceOnly			lexical.dictionary-voice=괴이다
굳다	VV	SurfaceOnly			lexical.dictionary-voice=굳히다
굶다	VV	SurfaceOnly			lexical.dictionary-voice=굶기다
굽다	VV	SurfaceOnly			lexical.dictionary-voice=굽히다
굽어보다	VV	SurfaceOnly			lexical.dictionary-voice=굽어보이다
그슬다	VV	SurfaceOnly			lexical.dictionary-voice=그슬리다
그을다	VV	SurfaceOnly			lexical.dictionary-voice=그을리다
긁다	VV	SurfaceOnly			lexical.dictionary-voice=긁히다
기울다	VV	SurfaceOnly			lexical.dictionary-voice=기울이다
기죽다	VV	SurfaceOnly			lexical.dictionary-voice=기죽이다
길들다	VV	SurfaceOnly			lexical.dictionary-voice=길들이다
까다	VV	SurfaceOnly			lexical.dictionary-voice=까이다
깎다	VV	SurfaceOnly			lexical.dictionary-voice=깎이다
깔다	VV	SurfaceOnly			lexical.dictionary-voice=깔리다
깨다	VV	SurfaceOnly			lexical.dictionary-voice=깨이다
꺾다	VV	SurfaceOnly			lexical.dictionary-voice=꺾이다
껴입다	VV	SurfaceOnly			lexical.dictionary-voice=껴입히다
꼬다	VV	SurfaceOnly			lexical.dictionary-voice=꼬이다
꼬집다	VV	SurfaceOnly			lexical.dictionary-voice=꼬집히다
꼽다	VV	SurfaceOnly			lexical.dictionary-voice=꼽히다
꽂다	VV	SurfaceOnly			lexical.dictionary-voice=꽂히다
꾀다	VV	SurfaceOnly			lexical.dictionary-voice=꾀이다
꿇다	VV	SurfaceOnly			lexical.dictionary-voice=꿇리다
꿇어앉다	VV	SurfaceOnly			lexical.dictionary-voice=꿇어앉히다
꿰다	VV	SurfaceOnly			lexical.dictionary-voice=꿰이다
끊다	VV	SurfaceOnly			lexical.dictionary-voice=끊기다
끌다	VV	SurfaceOnly			lexical.dictionary-voice=끌리다
끓다	VV	SurfaceOnly			lexical.dictionary-voice=끓이다
끼다	VV	SurfaceOnly			lexical.dictionary-voice=끼이다
나누다	VV	SurfaceOnly			lexical.dictionary-voice=나누이다
낙인찍다	VV	SurfaceOnly			lexical.dictionary-voice=낙인찍히다
낚다	VV	SurfaceOnly			lexical.dictionary-voice=낚이다
날다	VV	SurfaceOnly			lexical.dictionary-voice=날리다
남다	VV	SurfaceOnly			lexical.dictionary-voice=남기다
내걸다	VV	SurfaceOnly			lexical.dictionary-voice=내걸리다
내다보다	VV	SurfaceOnly			lexical.dictionary-voice=내다보이다
내려다보다	VV	SurfaceOnly			lexical.dictionary-voice=내려다보이다
내리깔다	VV	SurfaceOnly			lexical.dictionary-voice=내리깔리다
내리꽂다	VV	SurfaceOnly			lexical.dictionary-voice=내리꽂히다
내몰다	VV	SurfaceOnly			lexical.dictionary-voice=내몰리다
내밀다	VV	SurfaceOnly			lexical.dictionary-voice=내밀리다
내보다	VV	SurfaceOnly			lexical.dictionary-voice=내보이다
내쫓다	VV	SurfaceOnly			lexical.dictionary-voice=내쫓기다
널다	VV	SurfaceOnly			lexical.dictionary-voice=널리다
넘다	VV	SurfaceOnly			lexical.dictionary-voice=넘기다
녹다	VV	SurfaceOnly			lexical.dictionary-voice=녹이다
놀다	VV	SurfaceOnly			lexical.dictionary-voice=놀리다
놓다	VV	SurfaceOnly			lexical.dictionary-voice=놓이다
누다	VV	SurfaceOnly			lexical.dictionary-voice=누이다
눅다	VV	SurfaceOnly			lexical.dictionary-voice=눅이다
눕다	VV	SurfaceOnly			lexical.dictionary-voice=눕히다
늘다	VV	SurfaceOnly			lexical.dictionary-voice=늘리다
다물다	VV	SurfaceOnly			lexical.dictionary-voice=다물리다
닦다	VV	SurfaceOnly			lexical.dictionary-voice=닦이다
닫다	VV	SurfaceOnly			lexical.dictionary-voice=닫히다
달다	VV	SurfaceOnly			lexical.dictionary-voice=달리다
담다	VV	SurfaceOnly			lexical.dictionary-voice=담기다
덧붙다	VV	SurfaceOnly			lexical.dictionary-voice=덧붙이다
덮다	VV	SurfaceOnly			lexical.dictionary-voice=덮이다
도맡다	VV	SurfaceOnly			lexical.dictionary-voice=도맡기다
돌다	VV	SurfaceOnly			lexical.dictionary-voice=돌리다
되돌다	VV	SurfaceOnly			lexical.dictionary-voice=되돌리다
되살다	VV	SurfaceOnly			lexical.dictionary-voice=되살리다
뒤덮다	VV	SurfaceOnly			lexical.dictionary-voice=뒤덮이다
뒤얽다	VV	SurfaceOnly			lexical.dictionary-voice=뒤얽히다
뒤집다	VV	SurfaceOnly			lexical.dictionary-voice=뒤집히다
뒤쫓다	VV	SurfaceOnly			lexical.dictionary-voice=뒤쫓기다
뒤틀다	VV	SurfaceOnly			lexical.dictionary-voice=뒤틀리다
뒤흔들다	VV	SurfaceOnly			lexical.dictionary-voice=뒤흔들리다
들다	VV	SurfaceOnly			lexical.dictionary-voice=들리다
들다	VV	SurfaceOnly			lexical.dictionary-voice=들이다
들볶다	VV	SurfaceOnly			lexical.dictionary-voice=들볶이다
들어앉다	VV	SurfaceOnly			lexical.dictionary-voice=들어앉히다
들여다보다	VV	SurfaceOnly			lexical.dictionary-voice=들여다보이다
따라잡다	VV	SurfaceOnly			lexical.dictionary-voice=따라잡히다
떠맡다	VV	SurfaceOnly			lexical.dictionary-voice=떠맡기다
떠먹다	VV	SurfaceOnly			lexical.dictionary-voice=떠먹이다
떠밀다	VV	SurfaceOnly			lexical.dictionary-voice=떠밀리다
떠받다	VV	SurfaceOnly			lexical.dictionary-voice=떠받히다
떠안다	VV	SurfaceOnly			lexical.dictionary-voice=떠안기다
떨다	VV	SurfaceOnly			lexical.dictionary-voice=떨리다
뚫다	VV	SurfaceOnly			lexical.dictionary-voice=뚫리다
뜨다	VV	SurfaceOnly			lexical.dictionary-voice=뜨이다
뜯다	VV	SurfaceOnly			lexical.dictionary-voice=뜯기다
막다	VV	SurfaceOnly			lexical.dictionary-voice=막히다
말다	VV	SurfaceOnly			lexical.dictionary-voice=말리다
맞다	VV	SurfaceOnly			lexical.dictionary-voice=맞히다
맞물다	VV	SurfaceOnly			lexical.dictionary-voice=맞물리다
맞붙다	VV	SurfaceOnly			lexical.dictionary-voice=맞붙이다
맡다	VV	SurfaceOnly			lexical.dictionary-voice=맡기다
매다	VV	SurfaceOnly			lexical.dictionary-voice=매이다
매달다	VV	SurfaceOnly			lexical.dictionary-voice=매달리다
맺다	VV	SurfaceOnly			lexical.dictionary-voice=맺히다
먹다	VV	SurfaceOnly			lexical.dictionary-voice=먹이다
먹다	VV	SurfaceOnly			lexical.dictionary-voice=먹히다
몰다	VV	SurfaceOnly			lexical.dictionary-voice=몰리다
묵다	VV	SurfaceOnly			lexical.dictionary-voice=묵히다
묶다	VV	SurfaceOnly			lexical.dictionary-voice=묶이다
묻다	VV	SurfaceOnly			lexical.dictionary-voice=묻히다
물다	VV	SurfaceOnly			lexical.dictionary-voice=물리다
물들다	VV	SurfaceOnly			lexical.dictionary-voice=물들이다
믿다	VV	SurfaceOnly			lexical.dictionary-voice=믿기다
밀다	VV	SurfaceOnly			lexical.dictionary-voice=밀리다
밉보다	VV	SurfaceOnly			lexical.dictionary-voice=밉보이다
바라보다	VV	SurfaceOnly			lexical.dictionary-voice=바라보이다
바람맞다	VV	SurfaceOnly			lexical.dictionary-voice=바람맞히다
바로잡다	VV	SurfaceOnly			lexical.dictionary-voice=바로잡히다
박다	VV	SurfaceOnly			lexical.dictionary-voice=박히다
받다	VV	SurfaceOnly			lexical.dictionary-voice=받히다
발가벗다	VV	SurfaceOnly			lexical.dictionary-voice=발가벗기다
밟다	VV	SurfaceOnly			lexical.dictionary-voice=밟히다
벌거벗다	VV	SurfaceOnly			lexical.dictionary-voice=벌거벗기다
벗다	VV	SurfaceOnly			lexical.dictionary-voice=벗기다
베다	VV	SurfaceOnly			lexical.dictionary-voice=베이다
보다	VV	SurfaceOnly			lexical.dictionary-voice=보이다
볶다	VV	SurfaceOnly			lexical.dictionary-voice=볶이다
부딪다	VV	SurfaceOnly			lexical.dictionary-voice=부딪히다
부풀다	VV	SurfaceOnly			lexical.dictionary-voice=부풀리다
붙다	VV	SurfaceOnly			lexical.dictionary-voice=붙이다
붙들다	VV	SurfaceOnly			lexical.dictionary-voice=붙들리다
붙잡다	VV	SurfaceOnly			lexical.dictionary-voice=붙잡히다
비틀다	VV	SurfaceOnly			lexical.dictionary-voice=비틀리다
빗다	VV	SurfaceOnly			lexical.dictionary-voice=빗기다
빨다	VV	SurfaceOnly			lexical.dictionary-voice=빨리다
빼앗다	VV	SurfaceOnly			lexical.dictionary-voice=빼앗기다
뻗다	VV	SurfaceOnly			lexical.dictionary-voice=뻗히다
뽑다	VV	SurfaceOnly			lexical.dictionary-voice=뽑히다
사로잡다	VV	SurfaceOnly			lexical.dictionary-voice=사로잡히다
삭다	VV	SurfaceOnly			lexical.dictionary-voice=삭이다
삭다	VV	SurfaceOnly			lexical.dictionary-voice=삭히다
살다	VV	SurfaceOnly			lexical.dictionary-voice=살리다
섞다	VV	SurfaceOnly			lexical.dictionary-voice=섞이다
속다	VV	SurfaceOnly			lexical.dictionary-voice=속이다
손꼽다	VV	SurfaceOnly			lexical.dictionary-voice=손꼽히다
숨다	VV	SurfaceOnly			lexical.dictionary-voice=숨기다
식다	VV	SurfaceOnly			lexical.dictionary-voice=식히다
신다	VV	SurfaceOnly			lexical.dictionary-voice=신기다
싸다	VV	SurfaceOnly			lexical.dictionary-voice=싸이다
싸잡다	VV	SurfaceOnly			lexical.dictionary-voice=싸잡히다
쌓다	VV	SurfaceOnly			lexical.dictionary-voice=쌓이다
썩다	VV	SurfaceOnly			lexical.dictionary-voice=썩이다
썩다	VV	SurfaceOnly			lexical.dictionary-voice=썩히다
썰다	VV	SurfaceOnly			lexical.dictionary-voice=썰리다
쏘다	VV	SurfaceOnly			lexical.dictionary-voice=쏘이다
쓰다	VV	SurfaceOnly			lexical.dictionary-voice=쓰이다
쓸다	VV	SurfaceOnly			lexical.dictionary-voice=쓸리다
씹다	VV	SurfaceOnly			lexical.dictionary-voice=씹히다
씻다	VV	SurfaceOnly			lexical.dictionary-voice=씻기다
안다	VV	SurfaceOnly			lexical.dictionary-voice=안기다
앉다	VV	SurfaceOnly			lexical.dictionary-voice=앉히다
알다	VV	SurfaceOnly			lexical.dictionary-voice=알리다
애먹다	VV	SurfaceOnly			lexical.dictionary-voice=애먹이다
얹다	VV	SurfaceOnly			lexical.dictionary-voice=얹히다
얼다	VV	SurfaceOnly			lexical.dictionary-voice=얼리다
얽다	VV	SurfaceOnly			lexical.dictionary-voice=얽히다
얽매다	VV	SurfaceOnly			lexical.dictionary-voice=얽매이다
업다	VV	SurfaceOnly			lexical.dictionary-voice=업히다
에워싸다	VV	SurfaceOnly			lexical.dictionary-voice=에워싸이다
엮다	VV	SurfaceOnly			lexical.dictionary-voice=엮이다
열다	VV	SurfaceOnly			lexical.dictionary-voice=열리다
엿보다	VV	SurfaceOnly			lexical.dictionary-voice=엿보이다
옥죄다	VV	SurfaceOnly			lexical.dictionary-voice=옥죄이다
옮다	VV	SurfaceOnly			lexical.dictionary-voice=옮기다
욕보다	VV	SurfaceOnly			lexical.dictionary-voice=욕보이다
우러러보다	VV	SurfaceOnly			lexical.dictionary-voice=우러러보이다
울다	VV	SurfaceOnly			lexical.dictionary-voice=울리다
웃다	VV	SurfaceOnly			lexical.dictionary-voice=웃기다
이끌다	VV	SurfaceOnly			lexical.dictionary-voice=이끌리다
익다	VV	SurfaceOnly			lexical.dictionary-voice=익히다
읽다	VV	SurfaceOnly			lexical.dictionary-voice=읽히다
입다	VV	SurfaceOnly			lexical.dictionary-voice=입히다
잊다	VV	SurfaceOnly			lexical.dictionary-voice=잊히다
잡다	VV	SurfaceOnly			lexical.dictionary-voice=잡히다
잡아끌다	VV	SurfaceOnly			lexical.dictionary-voice=잡아끌리다
잡아먹다	VV	SurfaceOnly			lexical.dictionary-voice=잡아먹히다
장가들다	VV	SurfaceOnly			lexical.dictionary-voice=장가들이다
적다	VV	SurfaceOnly			lexical.dictionary-voice=적히다
절다	VV	SurfaceOnly			lexical.dictionary-voice=절이다
접다	VV	SurfaceOnly			lexical.dictionary-voice=접히다
정들다	VV	SurfaceOnly			lexical.dictionary-voice=정들이다
졸다	VV	SurfaceOnly			lexical.dictionary-voice=졸이다
주저앉다	VV	SurfaceOnly			lexical.dictionary-voice=주저앉히다
죽다	VV	SurfaceOnly			lexical.dictionary-voice=죽이다
줄다	VV	SurfaceOnly			lexical.dictionary-voice=줄이다
쥐어뜯다	VV	SurfaceOnly			lexical.dictionary-voice=쥐어뜯기다
집다	VV	SurfaceOnly			lexical.dictionary-voice=집히다
짓밟다	VV	SurfaceOnly			lexical.dictionary-voice=짓밟히다
짜다	VV	SurfaceOnly			lexical.dictionary-voice=짜이다
쫓다	VV	SurfaceOnly			lexical.dictionary-voice=쫓기다
찍다	VV	SurfaceOnly			lexical.dictionary-voice=찍히다
찢다	VV	SurfaceOnly			lexical.dictionary-voice=찢기다
차다	VV	SurfaceOnly			lexical.dictionary-voice=차이다
처박다	VV	SurfaceOnly			lexical.dictionary-voice=처박히다
치다	VV	SurfaceOnly			lexical.dictionary-voice=치이다
털다	VV	SurfaceOnly			lexical.dictionary-voice=털리다
튀다	VV	SurfaceOnly			lexical.dictionary-voice=튀기다
트다	VV	SurfaceOnly			lexical.dictionary-voice=트이다
틀다	VV	SurfaceOnly			lexical.dictionary-voice=틀리다
틀어박다	VV	SurfaceOnly			lexical.dictionary-voice=틀어박히다
파다	VV	SurfaceOnly			lexical.dictionary-voice=파이다
파묻다	VV	SurfaceOnly			lexical.dictionary-voice=파묻히다
팔다	VV	SurfaceOnly			lexical.dictionary-voice=팔리다
풀다	VV	SurfaceOnly			lexical.dictionary-voice=풀리다
헐다	VV	SurfaceOnly			lexical.dictionary-voice=헐리다
헝클다	VV	SurfaceOnly			lexical.dictionary-voice=헝클리다
휘감다	VV	SurfaceOnly			lexical.dictionary-voice=휘감기다
휘덮다	VV	SurfaceOnly			lexical.dictionary-voice=휘덮이다
휘돌다	VV	SurfaceOnly			lexical.dictionary-voice=휘돌리다
휘말다	VV	SurfaceOnly			lexical.dictionary-voice=휘말리다
휘몰다	VV	SurfaceOnly			lexical.dictionary-voice=휘몰리다
휩싸다	VV	SurfaceOnly			lexical.dictionary-voice=휩싸이다
휩쓸다	VV	SurfaceOnly			lexical.dictionary-voice=휩쓸리다
흔들다	VV	SurfaceOnly			lexical.dictionary-voice=흔들리다
