lemma	pos	alternation	flags	overrides	derivations
새겨듣다	VV	DToL			
새까맣다	VA	DropH			
새빨갛다	VA	DropH			
새카맣다	VA	DropH			
새파랗다	VA	DropH			
새하얗다	VA	DropH			
색다르다	VA	ReuDoubleL			
샛노랗다	VA	DropH			
서두르다	VV	ReuDoubleL			
서럽다	VA	BToWo			
서투르다	VA	ReuDoubleL			
섣부르다	VA	ReuDoubleL			
성마르다	VA	ReuDoubleL			
손쉽다	VA	BToWo			
솟아오르다	VV	ReuDoubleL			
시끄럽다	VA	BToWo			
싱겁다	VA	BToWo			
싱그럽다	VA	BToWo			
싸느랗다	VA	DropH			
싸지르다	VV	ReuDoubleL			
아깝다	VA	BToWo			
아니꼽다	VA	BToWo			
아리땁다	VA	BToWo			
아무렇다	VA	DropH			
아우르다	VV	ReuDoubleL			
안쓰럽다	VA	BToWo			
안타깝다	VA	BToWo			
알아듣다	VV	DToL			
앓아눕다	VV	BToWo			
앞지르다	VV	ReuDoubleL			
약삭빠르다	VA	ReuDoubleL			
얄밉다	VA	BToWo			
양지바르다	VA	ReuDoubleL			
어둡다	VA	BToWo			
어렵다	VA	BToWo			
어르다	VV	ReuDoubleL			
어지럽다	VA	BToWo			
어지르다	VV	ReuDoubleL			
억누르다	VV	ReuDoubleL			
얻어듣다	VV	DToL			
엎지르다	VV	ReuDoubleL			
여쭙다	VV	BToWo			
역겹다	VA	BToWo			
엿듣다	VV	DToL			
올바르다	VA	ReuDoubleL			
요렇다	VA	DropH			
우습다	VA	BToWo			
으르다	VV	ReuDoubleL			
윽박지르다	VV	ReuDoubleL			
일컫다	VV	DToL			
자그맣다	VA	DropH			
재빠르다	VA	ReuDoubleL			
저렇다	VA	DropH			
저지르다	VV	ReuDoubleL			
젓다	VV	DropS			
정겹다	VA	BToWo			
조그맣다	VA	DropH			
조렇다	VA	DropH			
조르다	VV	ReuDoubleL			
좁다랗다	VA	DropH			
종결짓다	VV	DropS			
죄짓다	VV	DropS			
주무르다	VV	ReuDoubleL			
주워듣다	VV	DToL			
줍다	VV	BToWo			
쥐어지르다	VV	ReuDoubleL			
즐겁다	VA	BToWo			
지겹다	VA	BToWo			
지르다	VV	ReuDoubleL			
짓누르다	VV	ReuDoubleL			
짓무르다	VV	ReuDoubleL			
징그럽다	VA	BToWo			
짙푸르다	VA	Reo			
짝짓다	VV	DropS			
짤따랗다	VA	DropH			
쪼그맣다	VA	DropH			
쪼끄맣다	VA	DropH			
찌르다	VV	ReuDoubleL			
차갑다	VA	BToWo			
차오르다	VV	ReuDoubleL			
철모르다	VV	ReuDoubleL			
추스르다	VV	ReuDoubleL			
치닫다	VV	DToL			
치오르다	VV	ReuDoubleL			
캐묻다	VV	DToL			
캐어묻다	VV	DToL			
타오르다	VV	ReuDoubleL			
타이르다	VV	ReuDoubleL			
특징짓다	VV	DropS			
퍼붓다	VV	DropS			
퍼지르다	VV	ReuDoubleL			
피어오르다	VV	ReuDoubleL			
하얗다	VA	DropH			
한숨짓다	VV	DropS			
허옇다	VA	DropH			
헐겁다	VA	BToWo			
후덥다	VA	BToWo			
휘두르다	VV	ReuDoubleL			
휘젓다	VV	DropS			
흥겹다	VA	BToWo			
희떱다	VA	BToWo			
희부옇다	VA	DropH			
희뿌옇다	VA	DropH			
힘겹다	VA	BToWo			
간데없다	VA	SurfaceOnly		lexical.dictionary-conjugation=간데없는	
간데없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=간데없이	
감쪽같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=감쪽같이	
갑작스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=갑작스레	
값있다	VA	SurfaceOnly		lexical.dictionary-conjugation=값있는	
같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=같이	
거멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=거머니	
거멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=거메	
거침없다	VA	SurfaceOnly		lexical.dictionary-conjugation=거침없는	
거침없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=거침없이	
걱정스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=걱정스레	
게으르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=게을리	
겸연스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=겸연스레	
고러다	VV	SurfaceOnly		lexical.dictionary-conjugation=고래	
고집스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=고집스레	
공연스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=공연스레	
관계없다	VA	SurfaceOnly		lexical.dictionary-conjugation=관계없는	
관계없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=관계없이	
관계있다	VA	SurfaceOnly		lexical.dictionary-conjugation=관계있는	
괜스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=괜스레	
구접스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=구접스레	
굳다	VA	SurfaceOnly		lexical.dictionary-conjugation=굳는	
귀신같다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=귀신같이	
그러다	VV	SurfaceOnly		lexical.dictionary-conjugation=그래	
그악스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=그악스레	
그지없다	VA	SurfaceOnly		lexical.dictionary-conjugation=그지없는	
그지없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=그지없이	
극성스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=극성스레	
급작스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=급작스레	
기탄없다	VA	SurfaceOnly		lexical.dictionary-conjugation=기탄없는	
기탄없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=기탄없이	
까딱없다	VA	SurfaceOnly		lexical.dictionary-conjugation=까딱없는	
까딱없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=까딱없이	
꺼멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=꺼머니	
꺼멓다	VA	SurfaceOnly		lexical.dictionary-conjugation=꺼메	
꼼짝없다	VA	SurfaceOnly		lexical.dictionary-conjugation=꼼짝없는	
꼼짝없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=꼼짝없이	
꾸밈없다	VA	SurfaceOnly		lexical.dictionary-conjugation=꾸밈없는	
꾸밈없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=꾸밈없이	
끄떡없다	VA	SurfaceOnly		lexical.dictionary-conjugation=끄떡없는	
끄떡없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=끄떡없이	
끊임없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=끊임없이	
끝없다	VA	SurfaceOnly		lexical.dictionary-conjugation=끝없는	
끝없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=끝없이	
난데없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=난데없이	
남다르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=남달리	
너르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=널리	
넉살스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=넉살스레	
누렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=누러니	
누렇다	VA	SurfaceOnly		lexical.dictionary-conjugation=누레	
느닷없다	VA	SurfaceOnly		lexical.dictionary-conjugation=느닷없는	
느닷없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=느닷없이	
능청스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=능청스레	
다르다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=달리	
다름없다	VA	SurfaceOnly		lexical.dictionary-conjugation=다름없는	
다름없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=다름없이	
다정스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=다정스레	
다채롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=다채로이	
다행스럽다	VA	SurfaceOnly		lexical.dictionary-related-adverb=다행스레	
단조롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=단조로이	
대수롭다	VA	SurfaceOnly		lexical.dictionary-related-adverb=대수로이	
대중없다	VA	SurfaceOnly		lexical.dictionary-conjugation=대중없는	
대중없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=대중없이	
더없다	VA	SurfaceOnly		lexical.dictionary-adverbial-i=더없이	
덧없다	VA	SurfaceOnly		lexical.dictionary-conjugation=덧없는	
